@relation 'allresults-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,2'

@attribute k numeric
@attribute accuracy numeric
@attribute tp numeric
@attribute fp numeric
@attribute tn numeric
@attribute precision numeric
@attribute f1 numeric
@attribute name {EuclideanDistance,ChebyshevDistance,ManhattanDistance,MinkowskiDistance05,MinkowskiDistance075,MinkowskiDistance3,MinkowskiDistance4,CanberraDistance,MeanAbsoluteError1,SumOfSquaredDifference,RodriguesDistance05,RodriguesDistance075,RodriguesDistance1,RodriguesDistance2,RodriguesDistance3,RodriguesDistance4}

@data
1,0.994087,0.99408,0.000658,0.999342,0.994135,0.994101,MinkowskiDistance075
1,0.975325,0.975325,0.004113,0.995887,0.975326,0.975286,MinkowskiDistance075
1,0.855769,0.853813,0.146187,0.853813,0.856194,0.854681,MinkowskiDistance075
11,0.863291,0.851607,0.148393,0.851607,0.860022,0.855256,MinkowskiDistance075
5,0.802974,0.687043,0.312957,0.687043,0.695099,0.690852,MinkowskiDistance075
5,0.7375,0.7375,0.2625,0.7375,0.827869,0.718073,MinkowskiDistance075
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,MinkowskiDistance075
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,MinkowskiDistance075
1,0.629139,0.628561,0.18557,0.81443,0.628884,0.628559,MinkowskiDistance075
3,0.696217,0.699774,0.101551,0.898449,0.683037,0.688731,MinkowskiDistance075
47,0.8536,0.854261,0.07311,0.92689,0.855877,0.852785,MinkowskiDistance075
3,0.865169,0.865847,0.066896,0.933104,0.861921,0.862995,MinkowskiDistance075
24,0.9024,0.652778,0.060336,0.939664,?,?,MinkowskiDistance3
22,0.556008,0.531783,0.228504,0.771496,0.541254,0.533119,MinkowskiDistance3
17,0.751302,0.702522,0.297478,0.702522,0.729565,0.710934,MinkowskiDistance3
9,0.877976,0.648345,0.019842,0.980158,?,?,MinkowskiDistance3
1,0.728972,0.694641,0.062194,0.937806,0.700557,0.694473,MinkowskiDistance3
15,0.77451,0.625432,0.374568,0.625432,0.72447,0.640104,MinkowskiDistance3
9,0.642857,0.450549,0.22381,0.77619,?,?,MinkowskiDistance3
6,0.734848,0.734641,0.143186,0.856814,0.781778,0.748417,MinkowskiDistance3
27,0.685185,0.671667,0.328333,0.671667,0.684137,0.672569,MinkowskiDistance3
1,0.837607,0.78254,0.21746,0.78254,0.872766,0.803632,MinkowskiDistance3
11,0.986667,0.986667,0.006667,0.993333,0.986667,0.986667,MinkowskiDistance3
1,1,1,0,1,1,1,MinkowskiDistance3
1,0.958,0.957804,0.00168,0.99832,0.957882,0.957804,MinkowskiDistance3
3,0.9535,0.9535,0.005167,0.994833,0.953718,0.953455,MinkowskiDistance3
4,0.8475,0.8475,0.016944,0.983056,0.848507,0.847264,MinkowskiDistance3
6,0.9755,0.9755,0.002722,0.997278,0.975683,0.975513,MinkowskiDistance3
47,0.499,0.499,0.055667,0.944333,0.489756,0.486276,MinkowskiDistance3
4,0.978,0.978,0.002444,0.997556,0.978127,0.977983,MinkowskiDistance3
11,0.8225,0.8225,0.019722,0.980278,0.822028,0.821884,MinkowskiDistance3
4,0.988612,0.988589,0.001266,0.998734,0.988748,0.988635,MinkowskiDistance3
4,0.957976,0.716992,0.054694,0.945306,0.817497,0.759556,MinkowskiDistance3
3,0.993632,0.99365,0.000708,0.999292,0.993683,0.993661,MinkowskiDistance3
1,0.961472,0.961472,0.006421,0.993579,0.961876,0.961477,MinkowskiDistance3
1,0.836538,0.835144,0.164856,0.835144,0.836143,0.835565,MinkowskiDistance3
1,0.817866,0.809592,0.190408,0.809592,0.809236,0.809412,MinkowskiDistance3
31,0.795539,0.594562,0.405438,0.594562,0.664938,0.608235,MinkowskiDistance3
3,0.7625,0.7625,0.2375,0.7625,0.776498,0.759456,MinkowskiDistance3
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,MinkowskiDistance3
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,MinkowskiDistance3
1,0.615894,0.61574,0.192435,0.807565,0.617905,0.616272,MinkowskiDistance3
3,0.63357,0.637303,0.122501,0.877499,0.625522,0.630186,MinkowskiDistance3
46,0.8558,0.856365,0.072029,0.927971,0.857321,0.855222,MinkowskiDistance3
1,0.730337,0.721062,0.137022,0.862978,0.722628,0.72157,MinkowskiDistance3
24,0.9024,0.652778,0.060336,0.939664,?,?,MinkowskiDistance4
22,0.556687,0.532435,0.228109,0.771891,0.541897,0.53372,MinkowskiDistance4
19,0.746094,0.695925,0.304075,0.695925,0.723387,0.704209,MinkowskiDistance4
9,0.877976,0.647178,0.01991,0.98009,?,?,MinkowskiDistance4
1,0.728972,0.702064,0.061883,0.938117,0.701768,0.698714,MinkowskiDistance4
15,0.77451,0.625432,0.374568,0.625432,0.72447,0.640104,MinkowskiDistance4
9,0.642857,0.450549,0.22381,0.77619,?,?,MinkowskiDistance4
6,0.734848,0.734641,0.143186,0.856814,0.781778,0.748417,MinkowskiDistance4
15,0.677778,0.67,0.33,0.67,0.673381,0.670912,MinkowskiDistance4
